No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
469,8042,8042,6256.5,1644.5,356.726,0
470,8034,8034,6248.5,1637.5,356.572,0
471,8261,-8122,6475.5,1870.5,1.67013,0
472,8885,-7498,7099.5,181.5,15.4706,0
473,9549,-6834,7763.5,845.5,29.9744,0
474,9971,-6412,8185.5,1267.5,39.204,0
475,10258,-6125,8472.5,1554.5,45.5329,0
476,10452,-5929,8668.5,1750.5,49.6862,0
477,10691,-5689,8908.5,1990.5,55.0482,0
478,11231,-5152,9445.5,228.5,66.9369,0
479,11878,-4505,10095.5,871.5,81.067,0
480,12206,-4177,10426.5,1202.5,88.3409,0
481,12400,-3982,10615.5,1391.5,92.5601,0
482,12615,-3764,10833.5,1609.5,97.3288,0
483,13061,-3316,11281.5,2057.5,107.306,0
484,13809,-2574,12023.5,493.5,123.677,0
485,14552,-1831,12766.5,1244.5,139.939,0
486,14789,-1594,13003.5,1471.5,144.927,0
487,14730,-1653,12944.5,1415.5,143.697,0
488,14633,-1750,12847.5,1316.5,141.521,0
489,14561,-1822,12775.5,1244.5,139.939,0
490,14272,-2111,12486.5,950.5,133.478,0
491,13601,-2782,11815.5,274.5,118.623,0
492,12949,-3434,11163.5,1932.5,104.383,0
493,12314,-4069,10528.5,1294.5,90.3626,0
494,11777,-4606,9991.5,761.5,78.6497,0
495,11086,-5297,9300.5,68.5,63.4208,0
496,10436,-5947,8650.5,1722.5,49.0929,0
497,9981,-6402,8195.5,1270.5,39.1601,0
498,9533,-6850,7747.5,827.5,29.425,0
499,9196,-7187,7410.5,490.5,22.0193,0
500,8850,-7533,7064.5,141.5,14.3499,0
501,8408,-7975,6622.5,2004.5,4.61482,0
502,8152,8152,6366.5,1753.5,359.121,0
503,8244,-8139,6458.5,1846.5,1.27457,0
504,8552,-7831,6766.5,2154.5,7.99902,0
505,8807,-7576,7021.5,103.5,13.5368,0
506,8975,-7406,7191.5,273.5,17.2726,0
507,8862,-7526,7071.5,153.5,14.5037,0
508,8718,-7665,6932.5,14.5,11.559,0
509,8886,-7497,7100.5,184.5,15.2948,0
510,9254,-7129,7468.5,558.5,23.5136,0
511,9789,-6594,8003.5,1092.5,35.2484,0
